yr	plot	total	AO	PB	PF	PP
1989	3	60	49	0	0	11
1990	3	58	36	0	15	7
1991	3	58	35	0	5	18
1992	3	42	16	0	2	24
1993	3	25	14	0	0	11
1994	3	24	9	0	0	15
1989	6	46	30	0	4	12
1990	6	38	15	0	14	9
1991	6	41	22	0	5	14
1992	6	31	12	0	5	14
1993	6	25	13	0	2	10
1994	6	16	2	0	8	6
1989	13	37	33	0	1	3
1990	13	23	21	0	0	2
1991	13	44	24	0	10	10
1992	13	31	18	0	7	6
1993	13	7	2	0	0	5
1994	13	15	11	0	1	3
1989	15	30	30	0	0	0
1990	15	16	12	0	4	0
1991	15	22	19	0	1	2
1992	15	7	3	0	1	3
1993	15	14	4	0	6	4
1994	15	6	1	0	2	3
1989	18	33	30	0	1	2
1990	18	32	19	0	5	8
1991	18	34	16	0	13	5
1992	18	37	4	0	23	10
1993	18	38	11	0	12	15
1994	18	13	3	0	7	3
1989	19	43	39	0	3	1
1990	19	46	35	0	11	0
1991	19	36	29	0	7	0
1992	19	26	18	0	3	5
1993	19	28	7	0	10	11
1994	19	28	2	0	21	5
1989	20	41	41	0	0	0
1990	20	18	16	0	2	0
1991	20	34	22	0	9	3
1992	20	17	7	0	1	9
1993	20	15	2	0	8	5
1994	20	9	1	0	4	4
1989	21	40	40	0	0	0
1990	21	20	20	0	0	0
1991	21	18	12	0	3	3
1992	21	19	9	0	4	6
1993	21	23	6	0	12	5
1994	21	28	0	0	19	9
